Time (s),Kanaal 1
0,0.3984
1,0.3785
2,0.3387
3,0.2590
4,0.1793
5,0.0398
6,0.0199
7,0.0398
8,0.0797
9,0.0199
10,0.2191
11,0.2789
12,-0.0199
13,-0.1992
14,-0.2391
15,-0.1395
16,-0.0598
17,0.0996
18,0.2191
19,0.0996
20,0.0598
21,0.1594
22,0.3586
23,0.2391
24,0.0398
25,0.1195
26,0.1992
27,0.2988
28,0.2590
29,0.2191
30,0.1395
31,0.1594
32,0.1594
33,0.0000
34,-0.2590
35,-0.0398
36,0.0398
37,0.1395
38,0.0000
39,0.1195
40,0.1195
41,-0.0398
42,-0.0996
43,-0.1395
44,-0.0598
45,0.0199
46,-0.0199
47,0.0000
48,0.0398
49,-0.0199
50,-0.0598
51,-0.0398
52,-0.0398
53,-0.0996
54,-0.0199
55,-0.0398
56,-0.0199
57,-0.0996
58,-0.0996
59,-0.0598
60,-0.1195
61,-0.1594
62,-0.1992
63,-0.1793
64,-0.1992
65,-0.0199
66,-0.0996
67,-0.0996
68,-0.1594
69,-0.2391
70,-0.1992
71,-0.1395
72,-0.0199
73,0.2391
74,0.1594
75,-0.1395
76,-0.3188
77,-0.1992
78,-0.1195
79,-0.1594
80,-0.5379
81,-0.7172
82,-0.1594
83,0.2590
84,0.0797
85,-0.2391
86,-0.2590
87,-0.1594
88,-0.0996
89,0.1594
90,0.8168
91,0.8965
92,0.2789
93,-0.2391
94,-0.5180
95,-0.4383
96,-0.2191
97,0.0199
98,0.0996
99,0.0199
100,-0.0199
101,-0.0398
102,0.0199
103,0.0199
104,-0.0199
105,-0.1594
106,-0.0996
107,0.0000
108,0.0000
109,0.0797
110,0.3188
111,0.2391
112,-0.0199
113,-0.3984
114,-0.5379
115,-0.4980
116,-0.2988
117,-0.0797
118,0.1793
119,0.3387
120,0.3984
121,0.2590
122,0.2988
123,0.2590
124,0.2789
125,0.2391
126,0.0000
127,0.0797
128,0.2191
129,0.3586
130,0.1992
131,0.0598
132,0.0000
133,-0.0598
134,-0.0996
135,0.1195
136,0.1395
137,-0.0398
138,-0.1594
139,-0.1793
140,-0.0996
141,-0.0398
142,0.0000
143,0.0000
144,0.0797
145,0.0598
146,0.0398
147,0.1594
148,0.1195
149,0.2789
150,0.3188
151,0.1992
152,0.2191
153,0.2789
154,0.1395
155,0.0000
156,-0.2590
157,-0.3785
158,-0.3387
159,-0.2391
160,-0.0598
161,0.0598
162,0.1594
163,0.3387
164,0.4184
165,0.2789
166,0.2191
167,0.0000
168,-0.0996
169,0.0598
170,0.3188
171,0.0797
172,-0.0797
173,-0.1395
174,-0.0398
175,-0.0996
176,-0.0598
177,0.0996
178,0.4781
179,0.7172
180,0.8766
181,0.0797
182,-0.5578
183,-0.9164
184,-0.8965
185,-0.6375
186,-0.1395
187,0.3785
188,0.3785
189,0.1992
190,0.1395
191,0.0199
192,0.0000
193,0.1395
194,0.0398
195,-0.0398
196,0.0598
197,0.0598
198,0.0398
199,-0.0199
200,0.0000
201,0.0797
202,0.0797
203,0.0996
204,0.1195
205,0.0398
206,0.1195
207,0.2391
208,0.0996
209,-0.2590
210,-0.7172
211,-0.6375
212,-0.0996
213,0.2988
214,0.2789
215,0.2191
216,0.0996
217,0.0398
218,0.0000
219,0.0797
220,0.2191
221,0.0797
222,0.0797
223,0.0199
224,0.0199
225,0.1195
226,0.1793
227,-0.0199
228,-0.1594
229,-0.0398
230,-0.0398
231,-0.0598
232,0.0000
233,-0.0398
234,-0.1195
235,-0.0996
236,-0.0797
237,-0.1195
238,-0.2391
239,-0.1793
240,-0.0797
241,-0.0398
242,0.0996
243,0.1395
244,0.1992
245,0.1793
246,0.0598
247,-0.0797
248,-0.3785
249,-0.6773
250,-0.4781
251,-0.1992
252,0.0598
253,-0.0398
254,0.1395
255,-0.0199
256,-0.2191
257,-0.3586
258,-0.4184
259,-0.3785
260,-0.2789
261,-0.2391
262,-0.1793
263,-0.0398
264,-0.0996
265,-0.0398
266,-0.0797
267,-0.3387
268,-0.2988
269,-0.2191
270,-0.1992
271,-0.0996
272,-0.0598
273,-0.0996
274,-0.0199
275,0.2191
276,-0.0398
277,-0.5977
278,-0.7172
279,-0.3984
280,0.1195
281,0.2789
282,0.3984
283,0.3586
284,0.3785
285,0.1793
286,-0.0598
287,-0.1793
288,-0.1395
289,-0.1195
290,-0.0996
291,-0.1195
292,-0.1594
293,-0.3984
294,-0.4980
295,-0.2191
296,0.0398
297,0.2590
298,0.0996
299,0.0199
300,0.0199
301,-0.1594
302,-0.1793
303,-0.0996
304,-0.1594
305,-0.1594
306,-0.1594
307,-0.1195
308,-0.1395
309,-0.2191
310,-0.1992
311,-0.1594
312,-0.1594
313,-0.1195
314,-0.0996
315,0.0598
316,0.1195
317,0.0797
318,0.0000
319,-0.0199
320,-0.0398
321,-0.0996
322,-0.0996
323,-0.0797
324,-0.0598
325,0.0199
326,0.0000
327,0.0398
328,0.0000
329,-0.0598
330,-0.0797
331,-0.0996
332,-0.2391
333,-0.1195
334,-0.1395
335,-0.0996
336,0.0000
337,0.0199
338,-0.0199
339,-0.0598
340,0.0996
341,0.1195
342,-0.1992
343,-0.1395
344,0.0199
345,0.3387
346,0.3586
347,0.3984
348,0.2191
349,-0.0398
350,-0.1992
351,-0.1195
352,-0.0598
353,-0.0797
354,-0.0598
355,-0.0797
356,-0.0996
357,-0.0996
358,-0.1395
359,-0.0598
360,-0.1793
361,0.0199
362,0.0996
363,0.0199
364,0.0398
365,0.1395
366,0.0797
367,0.2590
368,0.2988
369,0.2789
370,0.2789
371,0.1594
372,0.0398
373,0.0199
374,0.0598
375,0.0996
376,0.0797
377,0.0797
378,0.0199
379,-0.1395
380,-0.0199
381,0.1195
382,0.2391
383,0.1395
384,0.0000
385,0.0000
386,-0.0398
387,0.0598
388,0.0398
389,-0.0398
390,-0.1992
391,-0.3984
392,-0.4184
393,-0.2191
394,0.0996
395,0.3785
396,0.4184
397,0.4582
398,0.3785
399,0.3188
400,0.2191
401,0.0797
402,0.0199
403,-0.0199
404,-0.0598
405,-0.1195
406,-0.0996
407,-0.1395
408,-0.1395
409,-0.0996
410,-0.0398
411,-0.0598
412,-0.0398
413,-0.0598
414,-0.0797
415,-0.1395
416,-0.0996
417,-0.1395
418,-0.1195
419,-0.0598
420,-0.0797
421,-0.0996
422,-0.1992
423,-0.0996
424,-0.1195
425,0.1195
426,0.0598
427,-0.0598
428,-0.0398
429,0.0398
430,0.1395
431,0.0797
432,0.0996
433,0.1395
434,0.1793
435,0.0996
436,0.0199
437,0.0000
438,0.0199
439,0.0996
440,0.0000
441,-0.1195
442,-0.1395
443,-0.0996
444,-0.0398
445,-0.0199
446,-0.1195
447,-0.1395
448,-0.1992
449,0.0000
450,0.1395
451,0.0996
452,0.0199
453,-0.0598
454,-0.0996
455,0.0000
456,0.0398
457,0.1195
458,0.0797
459,0.0797
460,0.1195
461,0.1594
462,0.1992
463,0.1992
464,0.2391
465,0.1793
466,0.1195
467,0.0996
468,0.0398
469,0.0398
470,0.0598
471,0.0199
472,-0.0598
473,-0.0598
474,-0.1395
475,0.0797
476,0.2191
477,0.3188
478,0.0797
479,-0.1195
480,-0.1992
481,-0.1992
482,-0.0199
483,0.1195
484,0.2191
485,0.0797
486,0.0000
487,-0.0598
488,-0.2789
489,-0.2191
490,-0.0598
491,0.0000
492,0.1195
493,0.1793
494,0.3586
495,0.1992
496,0.0797
497,-0.0398
498,-0.1793
499,-0.1594
500,-0.2391
501,-0.1594
502,-0.0996
503,-0.0996
504,0.0000
505,0.0598
506,0.2191
507,0.2391
508,0.0996
509,0.3586
510,0.4184
511,0.2391
512,0.0199
513,-0.4383
514,-0.5578
515,-0.4781
516,-0.3188
517,-0.0996
518,0.1395
519,0.1992
520,0.2191
521,0.2789
522,0.1992
523,0.1395
524,0.0797
525,0.0199
526,0.0199
527,0.0000
528,-0.0398
529,-0.0398
530,-0.1195
531,-0.1793
532,-0.1793
533,-0.1195
534,-0.0598
535,-0.1195
536,-0.0797
537,0.0000
538,-0.0199
539,-0.0598
540,-0.0598
541,0.0199
542,-0.0199
543,0.0199
544,0.0398
545,0.0996
546,0.0797
547,0.0598
548,0.1992
549,0.1992
550,0.0797
551,0.0996
552,0.1195
553,0.0797
554,0.0398
555,0.0199
556,-0.0398
557,0.0199
558,0.0398
559,0.0398
560,0.1395
561,0.3188
562,0.4184
563,0.2789
564,0.3387
565,0.3188
566,0.0398
567,-0.0797
568,-0.1594
569,-0.2988
570,-0.2191
571,-0.2590
572,-0.2191
573,-0.0996
574,0.1195
575,0.2988
576,0.2988
577,0.1793
578,0.0598
579,-0.0199
580,-0.0199
581,-0.0398
582,0.0199
583,0.0797
584,0.2191
585,0.1793
586,0.1992
587,0.1395
588,0.2191
589,0.1992
590,0.0598
591,0.0797
592,0.0797
593,0.0598
594,0.0398
595,0.0199
596,0.0398
597,0.1992
598,0.4184
599,0.4383
600,0.1395
601,-0.3188
602,-0.5578
603,-0.6176
604,-0.4582
605,-0.2191
606,-0.1195
607,0.0000
608,-0.0398
609,-0.0598
610,0.1594
611,0.2789
612,0.0797
613,-0.1594
614,-0.2988
615,-0.3785
616,-0.3188
617,-0.0199
618,0.2590
619,0.3785
620,0.3785
621,0.3387
622,0.1793
623,0.1992
624,0.2191
625,0.2191
626,0.2590
627,0.2391
628,0.1395
629,0.0199
630,0.0996
631,-0.0996
632,-0.4980
633,-0.5180
634,-0.3984
635,-0.1594
636,0.1195
637,0.2988
638,0.5379
639,0.4184
640,-0.0398
641,-0.3984
642,-0.5180
643,-0.5578
644,-0.4184
645,-0.2590
646,-0.0199
647,0.1594
648,0.1395
649,0.0000
650,-0.0199
651,0.0598
652,0.2191
653,0.1395
654,0.0598
655,-0.0996
656,-0.1395
657,-0.1195
658,-0.0598
659,-0.0398
660,-0.0996
661,-0.1395
662,-0.2590
663,0.0000
664,0.2590
665,-0.0797
666,-0.3387
667,-0.4582
668,-0.3387
669,-0.0996
670,0.1395
671,0.0996
672,0.0598
673,-0.0199
674,-0.0996
675,-0.0797
676,-0.0797
677,-0.0398
678,-0.0996
679,-0.0797
680,-0.1395
681,-0.0797
682,0.0000
683,-0.2191
684,-0.3188
685,-0.4781
686,-0.4184
687,-0.3984
688,-0.2789
689,-0.1195
690,0.0199
691,-0.0996
692,-0.1195
693,-0.0996
694,0.0000
695,0.0598
696,0.1195
697,-0.0996
698,-0.1992
699,0.0000
700,0.6176
701,0.5578
702,-0.0598
703,-0.5180
704,-0.5777
705,-0.4582
706,-0.2590
707,0.0000
708,0.0398
709,-0.0598
710,-0.0398
711,-0.0797
712,0.0199
713,0.0199
714,0.0598
715,0.0398
716,-0.0199
717,-0.0398
718,-0.0199
719,0.0199
720,-0.0199
721,-0.0199
722,-0.0398
723,-0.0797
724,-0.1195
725,-0.0996
726,-0.1195
727,-0.1195
728,0.0199
729,-0.1195
730,-0.0199
731,-0.0199
732,0.0598
733,0.0598
734,-0.0598
735,-0.0598
736,-0.1195
737,-0.0598
738,0.0199
739,-0.0598
740,-0.1195
741,-0.1195
742,-0.3586
743,-0.2789
744,-0.1594
745,-0.0996
746,0.1594
747,0.1594
748,-0.0598
749,-0.0797
750,-0.0797
751,0.0598
752,0.2988
753,0.3188
754,0.2789
755,0.1992
756,0.0797
757,0.0398
758,0.0199
759,-0.1395
760,-0.1395
761,-0.0797
762,0.0598
763,-0.1594
764,-0.1195
765,0.2590
766,-0.0598
767,-0.2789
768,-0.2789
769,-0.1195
770,0.1594
771,0.3586
772,0.3586
773,0.4582
774,0.3387
775,0.2789
776,0.2391
777,0.1992
778,0.1395
779,0.1395
780,0.0199
781,-0.0398
782,-0.0598
783,-0.0398
784,0.0199
785,0.0996
786,0.0398
787,0.0996
788,0.0398
789,0.0199
790,-0.0598
791,-0.0398
792,0.0398
793,0.1195
794,0.0996
795,0.0797
796,0.0398
797,0.0398
798,-0.1395
799,-0.1594
800,-0.0598
801,0.1793
802,0.2988
803,0.2789
804,0.0996
805,0.0797
806,-0.0598
807,-0.1395
808,-0.2191
809,-0.2391
810,-0.1395
811,-0.0199
812,-0.0199
813,0.0000
814,-0.0996
815,-0.1395
816,-0.1395
817,0.0000
818,-0.0398
819,-0.0996
820,-0.2590
821,-0.4383
822,-0.1594
823,0.1594
824,0.2590
825,0.0199
826,-0.2590
827,-0.3586
828,-0.2191
829,-0.0996
830,0.0000
831,0.0000
832,0.0000
833,-0.0398
834,-0.0996
835,-0.2988
836,-0.3586
837,-0.1992
838,0.0000
839,0.2191
840,0.2590
841,0.2191
842,0.1793
843,0.0797
844,0.0398
845,0.0199
846,-0.0797
847,-0.1594
848,-0.2391
849,-0.1992
850,-0.1594
851,-0.0996
852,-0.1793
853,-0.1395
854,-0.1395
855,-0.0996
856,-0.1594
857,-0.0398
858,0.0199
859,-0.0398
860,-0.0797
861,-0.1195
862,-0.1395
863,-0.0996
864,-0.0598
865,-0.0398
866,0.0199
867,0.0398
868,0.0398
869,-0.0398
870,-0.1195
871,0.0000
872,0.0199
873,0.0797
874,0.0797
875,0.0797
876,-0.0398
877,-0.0398
878,-0.1395
879,-0.3785
880,-0.3387
881,-0.1594
882,0.1195
883,0.2988
884,0.2789
885,0.1793
886,0.0398
887,-0.1195
888,-0.1594
889,-0.0398
890,0.0199
891,0.0398
892,0.0000
893,0.0000
894,0.0996
895,0.0598
896,-0.0199
897,0.0598
898,0.0000
899,-0.0398
900,-0.0996
901,-0.0996
902,-0.1395
903,-0.1594
904,-0.1594
905,-0.0598
906,0.0199
907,0.0598
908,0.0000
909,-0.0598
910,-0.1195
911,-0.0797
912,-0.2391
913,-0.2988
914,-0.1395
915,0.0199
916,0.2789
917,0.3785
918,0.2191
919,0.0797
920,-0.0398
921,-0.0797
922,-0.0398
923,-0.0598
924,-0.0398
925,0.0199
926,0.0797
927,0.0996
928,0.0996
929,-0.0797
930,-0.0797
931,-0.0598
932,0.1992
933,0.4184
934,0.4383
935,0.3785
936,0.2789
937,0.2590
938,0.1594
939,0.0398
940,0.0199
941,0.0398
942,0.1195
943,0.2988
944,0.2191
945,0.0000
946,-0.0797
947,-0.1594
948,-0.0797
949,0.0398
950,0.1395
951,0.1594
952,0.2391
953,0.2191
954,0.1195
955,0.0199
956,-0.1395
957,-0.2391
958,-0.0598
959,-0.0199
960,0.0996
961,0.2988
962,0.2391
963,0.0199
964,-0.2789
965,-0.2789
966,-0.2391
967,-0.1395
968,0.0000
969,0.0797
970,0.2391
971,0.1992
972,0.1793
973,0.3188
974,0.2789
975,0.0000
976,-0.0797
977,0.0000
978,0.0996
979,0.1594
980,0.0398
